Mo,Nb,Ta,V,W,FCC_L12,BCC_B2
0.15,0.15,0.2,0.3,0.2,0,0.53626717
0.2,0.05,0.2,0.35,0.2,0,0.53602197
0.05,0.15,0.2,0.3,0.3,0,0.53546182
0.15,0.15,0.15,0.35,0.2,0,0.53408736
0.1,0.25,0.1,0.35,0.2,0,0.53400391
0.05,0.1,0.2,0.3,0.35,0,0.5335698
0.25,0.15,0.1,0.25,0.25,0,0.53346095
0.3,0.05,0.1,0.25,0.3,0,0.53219636
0.25,0.1,0.15,0.25,0.25,0,0.53090994
0.35,0.05,0.1,0.2,0.3,0,0.53030365
0.3,0.1,0.05,0.25,0.3,0,0.52650109
0.1,0.35,0.05,0.3,0.2,0,0.5260377
0.1,0.25,0.15,0.35,0.15,0,0.52468698
0.1,0.1,0.2,0.25,0.35,0,0.52453562
0.05,0.2,0.15,0.3,0.3,0,0.52405341
0.15,0.3,0.05,0.3,0.2,0,0.52386265
0.1,0.2,0.15,0.35,0.2,0,0.52309869
0.1,0.3,0.05,0.3,0.25,0,0.52268311
0.05,0.25,0.15,0.35,0.2,0,0.522368
0.3,0.1,0.1,0.25,0.25,0,0.52193451
0.2,0.15,0.15,0.3,0.2,0,0.52076583
0.2,0.2,0.1,0.3,0.2,0,0.52007019
0.15,0.15,0.2,0.35,0.15,0,0.51995906
0.2,0.05,0.25,0.35,0.15,0,0.51884017
0.1,0.1,0.25,0.35,0.2,0,0.51666401
0.1,0.2,0.15,0.25,0.3,0,0.51610102
0.05,0.35,0.05,0.25,0.3,0,0.5148952
0.1,0.3,0.1,0.35,0.15,0,0.51403067
0.1,0.15,0.2,0.3,0.25,0,0.51300699
0.35,0.1,0.05,0.25,0.25,0,0.51265574
0.2,0.1,0.2,0.35,0.15,0,0.51261926
0.05,0.3,0.1,0.25,0.3,0,0.51254893
0.2,0.15,0.15,0.35,0.15,0,0.5090029
0.1,0.05,0.25,0.3,0.3,0,0.5089865
0.3,0.05,0.1,0.2,0.35,0,0.50828068
0.05,0.05,0.25,0.35,0.3,0,0.50806401
0.3,0.15,0.05,0.3,0.2,0,0.50785321
0.2,0.1,0.15,0.25,0.3,0,0.50741486
